founder,company,location,employees
Eugène Schueller,L'Oréal,Paris,77500
August Horch,Audi,Ingolstadt,84435
Joseph Lazarus Morpurgo,Assicurazioni Generali,Trieste,85320
Charles F. Erhart,Pfizer,Manhattan,92400
Andrew W. Mellon,Alcoa,New York City,61000
Roy Raymond,Victoria's Secret,Columbus,97000
George Merck,Merck & Co.,Kenilworth,70000
George Merck,Merck & Co.,Kenilworth,68000
Roman Abramovich,Gazprom Neft,Saint Petersburg,67800
Thomas Sutherland,The Hongkong and Shanghai Banking Corporation Limited,Hong Kong,68294
Rafael del Pino,Ferrovial,calle del Príncipe de Vergara,95978
August Kühne,Kuehne + Nagel,Feusisberg,76000
Kazuo Inamori,Kyocera,Fushimi-ku,61468
Hans-Werner Hector,SAP SE,Walldorf,96498
Friedrich Nagel,Kuehne + Nagel,Feusisberg,76000
Earl Bakken,Medtronic plc,Ireland,86000
Charles Martin Hall,Alcoa,New York City,61000
Joseph-Armand Bombardier,Bombardier,Montreal,65698
Charles Pfizer,Pfizer,Manhattan,92400
Carlos Slim,Grupo Carso,Mexico City,78904
Jack Northrop,Northrop Grumman,Los Angeles,65600
Larry Page,Google,Mountain View,85050
Parmanand Hinduja,Hinduja Group,London,72000
Thomas Spencer,Marks & Spencer,London,85813
Michael Marks,Marks & Spencer,London,85813
Adolf Dassler,Adidas,Herzogenaurach,60617
Thomas Spencer,Marks & Spencer,Leeds,85813
Michael Marks,Marks & Spencer,Leeds,85813
José María Arizmendiarrieta,Mondragon Corporation,Mondragón,63616
José María Arizmendiarrieta,Mondragon Corporation,Mondragón,73635
José María Arizmendiarrieta,Mondragon Corporation,Mondragón,80818
Joseph Lucas,Lucas Industries,Birmingham,92000
Les Wexner,L Brands,Columbus,94600
Bobby Kotick,"Activision Publishing, Inc.",Santa Monica,90000
Richard Branson,Virgin Group,London,69000
William Knox D'Arcy,BP,London,73000
Leo Kahn,Staples Inc.,Boston,79075
Thomas Sutherland,The Hongkong and Shanghai Banking Corporation Limited,HSBC Building,68294
Claus Wellenreuther,SAP SE,Walldorf,96498
David Crane,"Activision Publishing, Inc.",Santa Monica,90000
Jack Northrop,Northrop Grumman,Falls Church,65600
Charles Lazarus,"Toys ""R"" Us",Wayne,64000
Charles Lazarus,"Toys ""R"" Us",Wayne,66000
Jack Northrop,Northrop Grumman,West Falls Church,65600
Nik Powell,Virgin Group,London,69000
Vannevar Bush,Raytheon,Waltham,72000
"Donald Wills Douglas, Sr.",McDonnell Douglas,St. Louis,63000
Francisco Roig Ballester,Mercadona,Tavernes Blanques,79563
Peter Dussmann,Dussmann,Berlin,63500
Charles Lazarus,"Toys ""R"" Us",New Jersey,64000
Charles Lazarus,"Toys ""R"" Us",New Jersey,66000
William Redington Hewlett,Hewlett-Packard,Palo Alto,66000
Masayoshi Son,SoftBank,Minato-ku,68402
Leroy Grumman,Northrop Grumman,Los Angeles,65600
James Smith McDonnell,McDonnell Douglas,St. Louis,63000
Dorabji Tata,Tata Steel,Mumbai,80391
Hasso Plattner,SAP SE,Walldorf,96498
Sandra Lerner,Cisco Systems,San Jose,75900
Arthur Vining Davis,Alcoa,New York City,61000
Thomas Alva Edison,Thales Group,Neuilly-sur-Seine,63730
Arnold Peter Møller,Maersk,Copenhagen,80220
Phil Knight,Nike,Beaverton,74400
John Paterson,Standard Bank,London,69000
"Marcus Samuel, 1st Viscount Bearsted",Royal Dutch Shell,London,92000
Klaus Tschira,SAP SE,Walldorf,96498
Louis Upton,Whirlpool Corporation,Benton Charter Township,92000
William Clement Stone,Aon plc,London,65000
John Deere,John Deere,Moline,67000
Dietmar Hopp,SAP SE,Walldorf,96498
Larry Kaplan,"Activision Publishing, Inc.",Santa Monica,90000
David Packard,Hewlett-Packard,Palo Alto,66000
Masayoshi Son,SoftBank,Tokyo,68402
Leroy Grumman,Northrop Grumman,Falls Church,65600
Leroy Grumman,Northrop Grumman,West Falls Church,65600
Alfred E. Hunt,Alcoa,New York City,61000
Ibn Saud,Royal Saudi Air Force,Riyadh,81000
Frederick Upton,Whirlpool Corporation,Benton Charter Township,92000
Karl Benz,Daimler-Benz,Stuttgart,90000
Frank Seiberling,Goodyear Tire and Rubber Company,Akron,63000
Thomas Alva Edison,Thales Group,La Défense,63730
Gottlieb Daimler,Daimler-Benz,Stuttgart,90000
Bill Bowerman,Nike,Beaverton,74400
Sergey Brin,Google,Mountain View,85050
Jagdish Chandra Mahindra,Mahindra & Mahindra,Mumbai,65000
Leonard Bosack,Cisco Systems,San Jose,75900
Palmer Hermundslie,Medtronic plc,Ireland,86000
James Wilson,Standard Chartered,London,86000
Norberto Odebrecht,Odebrecht,Salvador,79616
John W. Nordstrom,Nordstrom,Seattle,72500
Bob Whitehead,"Activision Publishing, Inc.",Santa Monica,90000
"Marcus Samuel, 1st Viscount Bearsted",Royal Dutch Shell,The Hague,92000
Getúlio Vargas,Petrobras,Rio de Janeiro,62703
Charles Dolan,Altice USA,Bethpage,13656
Serge Godin,CGI Group,Montreal,68000
John Paterson,Standard Bank,Johannesburg,69000
Yves Guillemot,Ubisoft,Rennes,13742
Yasuhiko Shōgaki,Saizeriya,Saitama Prefecture,2255
Michel Guillemot,Ubisoft,Rennes,13742
Darryl F. Zanuck,20th Century Fox,Fox Plaza,2300
Ernst Henrich Berling,Berlingske Media,Copenhagen,2367
Ronald Stordahl,Digi-Key,Thief River Falls,2400
Randall Kaplan,Akamai Technologies,"Cambridge, Massachusetts",2654
Abraham Kuyper,Vrije Universiteit Amsterdam,Amsterdam,2200
Lorenzo Ostuni,Fitch Group,London,2300
Daniel James,Phelps Dodge,Phoenix,13500
Martin van der Hagen,Nutricia,Zoetermeer,12888
Muhammad Jalaluddin Sayeed,Neptune Orient Lines,Singapore,13000
Joe Mansueto,"Morningstar, Inc.",Chicago,2375
Vladimir Yevtushenkov,Sistema,Moscow,70000
John Cadbury,Cadbury,Uxbridge,71657
Erich Paulun,Tongji University,Shanghai,2786
Arkady Shvetsov,Aviadvigatel,Perm,2663
Joseph M. Schenck,20th Century Fox,Fox Plaza,2300
Robert S. Kapito,BlackRock,New York City,13411
Steven Kolow,Boston Market,Boston,14000
Charles R. Schwab,Charles Schwab Corporation,San Francisco,12400
Pierre Omidyar,eBay,San Jose,12600
Carl Julius Winter,Wintershall,Kassel,2514
Herbert Boyer,Genentech,South San Francisco,14815
Kazuo Kashio,Casio,Shibuya,12287
Andrew Carnegie,TIAA-CREF,New York City,12950
Haldor Topsøe,Haldor Topsoe,Ravnholm,2430
Wang Jianlin,Wanda Commercial,Dalian,63881
Steven Kolow,Boston Market,Golden,14000
Emily Williamson,Royal Society for the Protection of Birds,The Lodge RSPB reserve,2409
Liu Qiangdong,JD.com,Beijing,62000
Gustave Moynier,International Committee of the Red Cross,Geneva,15448
Oleg Deripaska,Rusal,Moscow,64000
Sergey Brin,Alphabet Inc.,Mountain View,80110
Matthew Hamilton Gault,Sun Life Financial,Toronto,15000
William Fox,20th Century Fox,Fox Plaza,2300
George J. Mecherle,State Farm Insurance,Bloomington,67029
Serge Godin,CGI Group,E-Commerce Place,68000
Tony Ryan,Ryanair,Dublin Airport,13000
Pietro Barilla,Barilla Group,Parma,12689
Jesús de Polanco,PRISA,Madrid,13100
Roland Duchâtelet,X-Fab,Dresden,2600
Arkady Rotenberg,Stroygazmontazh,Moscow,16000
Tim Westergren,Pandora Radio,Oakland,2200
Sanju Bansal,MicroStrategy,Tysons,2528
William E. Dodge,Phelps Dodge,Phoenix,13500
Simon Lazard,Lazard,London,2523
Jozef Képesi,Kiwi.com,Brno,2600
Matthew Hamilton Gault,Sun Life Financial,Waterloo,15000
Serge Kampf,Sogeti,Paris,2500
David Álvarez Díez,Eulen,Bilbao,86206
Alexander I of Russia,Kazan Federal University,Kazan,2300
Manoel Dias Branco,M. Dias Branco,Eusébio,14000
F. Thomson Leighton,Akamai Technologies,"Cambridge, Massachusetts",2654
Hartley Peavey,Peavey Electronics,Meridian,2400
Carl von Linde,Linde,Angerhof,63487
Stephen Tindall,The Warehouse Group,Auckland,14800
Richard Nixon,United States Environmental Protection Agency,William Jefferson Clinton Federal Building,14172
Jeffrey Katzenberg,DreamWorks Animation,Glendale,2429
Martin van der Hagen,Nutricia,Amsterdam,12888
John Mackey,Whole Foods Market,Austin,91000
Jiří Hlavenka,Kiwi.com,Brno,2600
Tulsi Tanti,Suzlon Energy,Pune,13000
Oliver Dlouhý,Kiwi.com,Brno,2600
Daniel Lewin,Akamai Technologies,"Cambridge, Massachusetts",2654
Guillaume Henri Dufour,International Committee of the Red Cross,Geneva,15448
Hassan Khosrowshahi,Future Shop,Burnaby,14000
Fritz Sennheiser,Sennheiser,Wedemark,2100
L. Ron Hubbard,Church of Scientology,Gold Base,13000
Paul Reuter,Reuters,London,14000
"Henry Brougham, 1st Baron Brougham and Vaux",University College London,UCL Main Building,12830
Mehmet Emin Karamehmet,Turkcell,Istanbul,13901
Robert A. Swanson,Genentech,South San Francisco,14815
Octave Klaba,OVHcloud,Roubaix,2750
Penny Pritzker,"Vi Senior Living, Classic Residence",Chicago,2700
Larry Page,Alphabet Inc.,Mountain View,80110
Lyndon Rive,SolarCity,San Mateo,13000
Chip Wilson,Lululemon Athletica,Vancouver,13400
Yves Guillemot,Ubisoft,Montreuil,13742
Axel Springer,Axel Springer SE,Berlin,13917
Hans Wilsdorf,Rolex,Geneva,2800
Matthew Hamilton Gault,Sun Life Financial,Sun Life Building,15000
Michel Guillemot,Ubisoft,Montreuil,13742
Élie Lazard,Lazard,London,2523
Al Copeland,Popeyes Louisiana Kitchen,Atlanta,2130
Michael J. Saylor,MicroStrategy,Tysons,2528
Ole Kirk Christiansen,The Lego Group,Billund,13974
Daniel Melihov,Domino's Pizza,Ann Arbor Charter Township,14100
August Howaldt,Howaldtswerke-Deutsche Werft,Kiel,2400
Aloke Lohia,Indorama Ventures,Bangkok,14000
José Ortega Spottorno,PRISA,Madrid,13100
Jon Kraft,Pandora Radio,Oakland,2200
Yang Guoqiang,Country Garden,Shunde District,70000
Anson Green Phelps,Phelps Dodge,Phoenix,13500
Roland Duchâtelet,X-Fab,Tessenderlo,2600
Alexandre Lazard,Lazard,London,2523
Hugo Boss,Hugo Boss,Metzingen,14685
Ben Dunne,Dunnes Stores,Dublin,15000
Agha Hasan Abedi,United Bank,Karachi,13000
Roland Duchâtelet,X-Fab,Erfurt,2600
Henry Dunant,International Committee of the Red Cross,Geneva,15448
Bill H. Gross,PIMCO,Newport Beach,2462
Carl Paul Goerz,Goerz,Berlin,2500
Norman Wait Harris,BMO Harris Bank,Chicago,14000
Marcel Bich,Société Bic,Paris,14934
Marc Benioff,Salesforce.com,Salesforce Tower,13300
Marc Benioff,Salesforce.com,Salesforce Tower,2070
Marc Benioff,Salesforce.com,Salesforce Tower,2606
Clyde Cessna,Cessna,Wichita,15000
Bob Kaplan,Canadian Security Intelligence Service,Ottawa,2449
Peter Bang,Bang & Olufsen,Struer,2046
Steven Spielberg,DreamWorks Animation,Glendale,2429
Marcel Bich,Société Bic,Clichy,14934
Leon Hess,Hess Corporation,New York City,2075
Robert V. West Jr.,Andeavor,San Antonio,14300
Friedrich Weyerhäuser,Weyerhaeuser,Federal Way,13200
Laurence D. Fink,BlackRock,New York City,13411
Yin Mingshan,Lifan Group,Chongqing,13653
André Besnier,Lactalis,Laval,75000
Frank Wang,DJI,Shenzhen,2800
Hannibal Sehested,Posten Norge,Oslo,15021
David Geffen,DreamWorks Animation,Glendale,2429
Margaretta Louisa Lemon,Royal Society for the Protection of Birds,The Lodge RSPB reserve,2409
Louis Appia,International Committee of the Red Cross,Geneva,15448
Richard Nixon,United States Environmental Protection Agency,"Washington, D.C.",14172
Théodore Maunoir,International Committee of the Red Cross,Geneva,15448
John C. Bogle,The Vanguard Group,Malvern,15000
Ikutaro Kakehashi,Roland Corporation,Hamamatsu,2233
Ferdinand Porsche,Porsche,Stuttgart,12722
André Citroën,Citroën,Paris,13500
Eliza Phillips,Royal Society for the Protection of Birds,The Lodge RSPB reserve,2409
Tony Tan,Jollibee Foods Corporation,Pasig,18235
Eike Batista,EBX Group,Flamengo District,13000
Randolph Fields,Virgin Atlantic,Crawley,8875
Alexandru Ioan Cuza,CEC Bank,CEC Palace,6584
James Lindenberg,ABS-CBN Corporation,Quezon City,7406
Egbert Douwes,Douwe Egberts,Amsterdam,7579
Sheng Xuanhuai,Red Cross Society of China,Beijing,7774
Jerry Sanders,Advanced Micro Devices,Sunnyvale,8900
Chance M. Vought,Vought,Dallas,6642
David Sarnoff,NBC,30 Rockefeller Plaza,7000
Frederik Paulsen senior,Ferring Pharmaceuticals,Saint-Prex,6500
Jerry Sanders,Advanced Micro Devices,California,8900
Nicolas Villeroy,Villeroy & Boch,Mettlach,7673
Casimir III the Great,Jagiellonian University,Kraków,7212
Robin Li,Baidu,Beijing,6387
Heinrich Himmler,Sicherheitsdienst,Berlin,6482
Chino Roces,TV5 Network,Mandaluyong,7406
Alan Hellary,Virgin Atlantic,Crawley,8875
Heinrich Himmler,Sicherheitsdienst,Munich,6482
Camille Dreyfus,Celanese,Irving,8400
Ezra Fitch,Abercrombie & Fitch,New Albany,6900
Edward Max Nicholson,World Wide Fund for Nature,Morges,6203
George IV of the United Kingdom,King's College London,London,7250
James Dyson,Dyson,Malmesbury,7000
Vehbi Koç,Tofaş,Istanbul,6500
Frederick VI of Denmark,University of Oslo,Blindern,6194
Jerry Sanders,Advanced Micro Devices,Santa Clara,8900
Elon Musk,SpaceX,California,7000
Yves Guillemot,Ubisoft,Montreuil,6010
Michel Guillemot,Ubisoft,Montreuil,6010
Erasmus,Utrecht University,Utrecht,6700
Jonathan Bell Lovelace,Capital Group Companies,California,7000
John Walker,Autodesk,San Rafael,6800
Shen Dunhe,Red Cross Society of China,Beijing,7774
Jack Gifford,Advanced Micro Devices,Sunnyvale,8900
Fredrik Rosing Bull,Groupe Bull,Les Clayes-sous-Bois,8600
Richard Branson,Virgin Atlantic,Crawley,8875
David T. Abercrombie,Abercrombie & Fitch,New Albany,6900
David Sarnoff,NBC,NBC Tower,7000
Jonathan Bell Lovelace,Capital Group Companies,Los Angeles,7000
Arkady Volozh,Yandex,Amsterdam,8854
Arkady Volozh,Yandex,Amsterdam Airport Schiphol,8854
Elon Musk,SpaceX,Hawthorne,7000
Jack Gifford,Advanced Micro Devices,California,8900
"Arthur Wellesley, 1st Duke of Wellington",King's College London,London,7250
T. J. Rodgers,Cypress Semiconductor,San Jose,6279
Robin Li,Baidu,Cayman Islands,6387
Ilya Segalovich,Yandex,Amsterdam,8854
Ilya Segalovich,Yandex,Amsterdam Airport Schiphol,8854
Marcel Bich,Société Bic,Paris,8176
Marc Benioff,Salesforce.com,Salesforce Tower,7785
Yolanda Farr,World Wide Fund for Nature,Morges,6203
Marcel Bich,Société Bic,Clichy,8176
Amar Bose,Bose Corporation,Framingham,8000
Carl Tchilinghiryan,Tchibo,Hamburg,8300
Boniface VIII,Sapienza University of Rome,Rome,8502
Arkady Volozh,Yandex,Moscow,8854
"Prince Philip, Duke of Edinburgh",World Wide Fund for Nature,Morges,6203
Trip Hawkins,Electronic Arts,California,8400
Trip Hawkins,Electronic Arts,California,8900
Ilya Segalovich,Yandex,Moscow,8854
David Sarnoff,NBC,Stamford,7000
Jack Gifford,Advanced Micro Devices,Santa Clara,8900
John Frederick II,University of Jena,Jena,6979
Richard Swanson,SunPower,San Jose,8309
Guy Mountfort,World Wide Fund for Nature,Morges,6203
Edwin Turney,Advanced Micro Devices,Sunnyvale,8900
Johann Franz Boch-Buschmann,Villeroy & Boch,Mettlach,7673
Julian Huxley,World Wide Fund for Nature,Morges,6203
Yves Guillemot,Ubisoft,Rennes,6010
Louis Philippe I,French Foreign Legion,Aubagne,7699
Michel Guillemot,Ubisoft,Rennes,6010
Edwin Turney,Advanced Micro Devices,California,8900
Peter Scott,World Wide Fund for Nature,Morges,6203
Prince Bernhard of the Netherlands,World Wide Fund for Nature,Morges,6203
Sergei Korolev,S.P. Korolev Rocket and Space Corporation Energia,Moscow,7791
Godfrey A. Rockefeller,World Wide Fund for Nature,Morges,6203
Murray G. Ross,York University,Toronto,7000
Li Jinyuan,Tiens Biotech Group,Tianjin,8000
Trip Hawkins,Electronic Arts,Redwood City,8400
Trip Hawkins,Electronic Arts,Redwood City,8900
Max Herz,Tchibo,Hamburg,8300
David Sarnoff,NBC,10 Universal City Plaza,7000
Edwin Turney,Advanced Micro Devices,Santa Clara,8900
Michel Guillemot,Gameloft,Paris,6200
John Hendricks,Discovery Inc.,Park Avenue,7000
John Hendricks,Discovery Inc.,Silver Spring,7000
David Hitz,NetApp,Sunnyvale,8973
Mark R. Hughes,Herbalife,Cayman Islands,7800
Momofuku Ando,Nissin Food Products,Shinjuku-ku,7408
